mc_vers,total_hits
1.21.10,15388
1.21.9,14637
1.21.8,22743
1.21.7,20963
1.21.6,21113
1.21.5,26049
1.21.4,30196
1.21.3,24386
1.21.2,22623
1.21.1,38242
1.21,31581
1.20.6,21208
1.20.5,18754
1.20.4,26361
1.20.3,20827
1.20.2,23970
1.20.1,48653
1.20,24072
1.19.4,19313
1.19.3,16761
1.19.2,23061
1.19.1,15457
1.19,16411
1.18.2,17376
1.18.1,12102
1.18,11935
1.17.1,11223
1.17,9904
1.16.5,12513
1.16.4,8694
1.16.3,8258
1.16.2,7996
1.16.1,7545
1.16,7560
1.15.2,5982
1.15.1,5289
1.15,5381
1.14.4,5469
1.14.3,4793
1.14.2,4785
1.14.1,4740
1.14,4877
1.13.2,4018
1.13.1,3796
1.13,3910
1.12.2,5160
1.12.1,2823
1.12,2917
1.11.2,2591
1.11.1,2291
1.11,2403
1.10.2,2375
1.10.1,2051
1.10,2158
1.9.4,2180
1.9.3,1978
1.9.2,1978
1.9.1,1971
1.9,2088
1.8.9,3003
1.8.8,2038
1.8.7,1777
1.8.6,1766
1.8.5,1758
1.8.4,1752
1.8.3,1751
1.8.2,1745
1.8.1,1746
1.8,1861
1.7.10,1939
1.7.9,1029
1.7.8,1025
1.7.7,1016
1.7.6,1012
1.7.5,1013
1.7.4,1013
1.7.3,1009
1.7.2,1055
1.6.4,818
1.6.2,729
1.6.1,706
1.5.2,321
1.5.1,272
1.4.7,308
1.4.6,265
1.4.5,257
1.4.4,248
1.4.2,259
1.3.2,267
1.3.1,226
1.2.5,337
1.2.4,282
1.2.3,297
1.2.2,274
1.2.1,276
1.1,237
1.0,230
